Column,Year,Age,Sex,Participant,Casualty,Total
476,2006,35 - 44 years,Female,Car passengers,Injured,67
477,2006,35 - 44 years,Female,Car passengers,Killed,2
478,2006,35 - 44 years,Female,Car drivers,Injured,334
479,2006,35 - 44 years,Female,Car drivers,Killed,4
480,2006,45 - 54 years,Male,Pedestrians,Injured,45
481,2006,45 - 54 years,Male,Pedestrians,Killed,3
482,2006,45 - 54 years,Male,Pedal cyclists,Injured,13
483,2006,45 - 54 years,Male,Pedal cyclists,Killed,2
484,2006,45 - 54 years,Male,Other road users,Injured,102
485,2006,45 - 54 years,Male,Other road users,Killed,3
486,2006,45 - 54 years,Male,Motor cyclists,Injured,35
487,2006,45 - 54 years,Male,Motor cyclists,Killed,2
488,2006,45 - 54 years,Male,Car passengers,Injured,26
489,2006,45 - 54 years,Male,Car passengers,Killed,3
490,2006,45 - 54 years,Male,Car drivers,Injured,200
491,2006,45 - 54 years,Male,Car drivers,Killed,4
492,2006,45 - 54 years,Female,Pedestrians,Injured,29
493,2006,45 - 54 years,Female,Pedestrians,Killed,0
494,2006,45 - 54 years,Female,Pedal cyclists,Injured,7
495,2006,45 - 54 years,Female,Pedal cyclists,Killed,0
496,2006,45 - 54 years,Female,Other road users,Injured,14
497,2006,45 - 54 years,Female,Other road users,Killed,0
498,2006,45 - 54 years,Female,Motor cyclists,Injured,4
499,2006,45 - 54 years,Female,Motor cyclists,Killed,1
500,2006,45 - 54 years,Female,Car passengers,Injured,73
501,2006,45 - 54 years,Female,Car passengers,Killed,2
502,2006,45 - 54 years,Female,Car drivers,Injured,240
503,2006,45 - 54 years,Female,Car drivers,Killed,2
504,2006,55 - 64 years,Male,Pedestrians,Injured,36
505,2006,55 - 64 years,Male,Pedestrians,Killed,8
506,2006,55 - 64 years,Male,Pedal cyclists,Injured,8
507,2006,55 - 64 years,Male,Pedal cyclists,Killed,2
508,2006,55 - 64 years,Male,Other road users,Injured,60
509,2006,55 - 64 years,Male,Other road users,Killed,3
510,2006,55 - 64 years,Male,Motor cyclists,Injured,13
511,2006,55 - 64 years,Male,Motor cyclists,Killed,2
512,2006,55 - 64 years,Male,Car passengers,Injured,18
513,2006,55 - 64 years,Male,Car passengers,Killed,0
514,2006,55 - 64 years,Male,Car drivers,Injured,134
515,2006,55 - 64 years,Male,Car drivers,Killed,8
516,2006,55 - 64 years,Female,Pedestrians,Injured,32
517,2006,55 - 64 years,Female,Pedestrians,Killed,0
518,2006,55 - 64 years,Female,Pedal cyclists,Injured,2
519,2006,55 - 64 years,Female,Pedal cyclists,Killed,0
520,2006,55 - 64 years,Female,Other road users,Injured,10
521,2006,55 - 64 years,Female,Other road users,Killed,0
522,2006,55 - 64 years,Female,Motor cyclists,Injured,0
523,2006,55 - 64 years,Female,Motor cyclists,Killed,0
524,2006,55 - 64 years,Female,Car passengers,Injured,75
525,2006,55 - 64 years,Female,Car passengers,Killed,3
526,2006,55 - 64 years,Female,Car drivers,Injured,121
527,2006,55 - 64 years,Female,Car drivers,Killed,2
528,2006,65 years and over,Male,Pedestrians,Injured,46
529,2006,65 years and over,Male,Pedestrians,Killed,14
530,2006,65 years and over,Male,Pedal cyclists,Injured,9
531,2006,65 years and over,Male,Pedal cyclists,Killed,0
532,2006,65 years and over,Male,Other road users,Injured,30
533,2006,65 years and over,Male,Other road users,Killed,4
534,2006,65 years and over,Male,Motor cyclists,Injured,4
535,2006,65 years and over,Male,Motor cyclists,Killed,0
536,2006,65 years and over,Male,Car passengers,Injured,23
537,2006,65 years and over,Male,Car passengers,Killed,0
538,2006,65 years and over,Male,Car drivers,Injured,134
539,2006,65 years and over,Male,Car drivers,Killed,13
540,2006,65 years and over,Female,Pedestrians,Injured,70
541,2006,65 years and over,Female,Pedestrians,Killed,15
542,2006,65 years and over,Female,Pedal cyclists,Injured,0
543,2006,65 years and over,Female,Pedal cyclists,Killed,0
544,2006,65 years and over,Female,Other road users,Injured,15
545,2006,65 years and over,Female,Other road users,Killed,1
546,2006,65 years and over,Female,Motor cyclists,Injured,2
547,2006,65 years and over,Female,Motor cyclists,Killed,0
548,2006,65 years and over,Female,Car passengers,Injured,88
549,2006,65 years and over,Female,Car passengers,Killed,4
550,2006,65 years and over,Female,Car drivers,Injured,94
551,2006,65 years and over,Female,Car drivers,Killed,12
552,2006,Age unknown,Male,Pedestrians,Injured,26
553,2006,Age unknown,Male,Pedestrians,Killed,0
554,2006,Age unknown,Male,Pedal cyclists,Injured,16
555,2006,Age unknown,Male,Pedal cyclists,Killed,0
556,2006,Age unknown,Male,Other road users,Injured,17
557,2006,Age unknown,Male,Other road users,Killed,0
558,2006,Age unknown,Male,Motor cyclists,Injured,16
559,2006,Age unknown,Male,Motor cyclists,Killed,0
560,2006,Age unknown,Male,Car passengers,Injured,19
561,2006,Age unknown,Male,Car passengers,Killed,0
562,2006,Age unknown,Male,Car drivers,Injured,41
563,2006,Age unknown,Male,Car drivers,Killed,0
564,2006,Age unknown,Female,Pedestrians,Injured,20
565,2006,Age unknown,Female,Pedestrians,Killed,0
566,2006,Age unknown,Female,Pedal cyclists,Injured,6
567,2006,Age unknown,Female,Pedal cyclists,Killed,0
568,2006,Age unknown,Female,Other road users,Injured,11
569,2006,Age unknown,Female,Other road users,Killed,0
570,2006,Age unknown,Female,Motor cyclists,Injured,1
571,2006,Age unknown,Female,Motor cyclists,Killed,0
572,2006,Age unknown,Female,Car passengers,Injured,38
573,2006,Age unknown,Female,Car passengers,Killed,0
574,2006,Age unknown,Female,Car drivers,Injured,35
575,2006,Age unknown,Female,Car drivers,Killed,0
576,2007,00 - 05 years,Male,Pedestrians,Injured,28
577,2007,00 - 05 years,Male,Pedestrians,Killed,0
578,2007,00 - 05 years,Male,Pedal cyclists,Injured,2
579,2007,00 - 05 years,Male,Pedal cyclists,Killed,0
580,2007,00 - 05 years,Male,Other road users,Injured,2
581,2007,00 - 05 years,Male,Other road users,Killed,0
582,2007,00 - 05 years,Male,Motor cyclists,Injured,0
583,2007,00 - 05 years,Male,Motor cyclists,Killed,0
584,2007,00 - 05 years,Male,Car passengers,Injured,69
585,2007,00 - 05 years,Male,Car passengers,Killed,2
586,2007,00 - 05 years,Male,Car drivers,Injured,0
587,2007,00 - 05 years,Male,Car drivers,Killed,0
588,2007,00 - 05 years,Female,Pedestrians,Injured,21
589,2007,00 - 05 years,Female,Pedestrians,Killed,1
590,2007,00 - 05 years,Female,Pedal cyclists,Injured,1
591,2007,00 - 05 years,Female,Pedal cyclists,Killed,0
592,2007,00 - 05 years,Female,Other road users,Injured,0
593,2007,00 - 05 years,Female,Other road users,Killed,0
594,2007,00 - 05 years,Female,Motor cyclists,Injured,0
595,2007,00 - 05 years,Female,Motor cyclists,Killed,0
596,2007,00 - 05 years,Female,Car passengers,Injured,74
597,2007,00 - 05 years,Female,Car passengers,Killed,5
598,2007,00 - 05 years,Female,Car drivers,Injured,0
599,2007,00 - 05 years,Female,Car drivers,Killed,0
600,2007,06 - 09 years,Male,Pedestrians,Injured,50
601,2007,06 - 09 years,Male,Pedestrians,Killed,0
602,2007,06 - 09 years,Male,Pedal cyclists,Injured,6
603,2007,06 - 09 years,Male,Pedal cyclists,Killed,0
604,2007,06 - 09 years,Male,Other road users,Injured,7
605,2007,06 - 09 years,Male,Other road users,Killed,0
606,2007,06 - 09 years,Male,Motor cyclists,Injured,0
607,2007,06 - 09 years,Male,Motor cyclists,Killed,0
608,2007,06 - 09 years,Male,Car passengers,Injured,38
609,2007,06 - 09 years,Male,Car passengers,Killed,0
610,2007,06 - 09 years,Male,Car drivers,Injured,0
611,2007,06 - 09 years,Male,Car drivers,Killed,0
612,2007,06 - 09 years,Female,Pedestrians,Injured,22
613,2007,06 - 09 years,Female,Pedestrians,Killed,0
614,2007,06 - 09 years,Female,Pedal cyclists,Injured,4
615,2007,06 - 09 years,Female,Pedal cyclists,Killed,0
616,2007,06 - 09 years,Female,Other road users,Injured,2
617,2007,06 - 09 years,Female,Other road users,Killed,0
618,2007,06 - 09 years,Female,Motor cyclists,Injured,1
619,2007,06 - 09 years,Female,Motor cyclists,Killed,0
620,2007,06 - 09 years,Female,Car passengers,Injured,36
621,2007,06 - 09 years,Female,Car passengers,Killed,1
622,2007,06 - 09 years,Female,Car drivers,Injured,0
623,2007,06 - 09 years,Female,Car drivers,Killed,0
624,2007,10 - 14 years,Male,Pedestrians,Injured,41
625,2007,10 - 14 years,Male,Pedestrians,Killed,3
626,2007,10 - 14 years,Male,Pedal cyclists,Injured,26
627,2007,10 - 14 years,Male,Pedal cyclists,Killed,2
628,2007,10 - 14 years,Male,Other road users,Injured,7
629,2007,10 - 14 years,Male,Other road users,Killed,0
630,2007,10 - 14 years,Male,Motor cyclists,Injured,1
631,2007,10 - 14 years,Male,Motor cyclists,Killed,0
632,2007,10 - 14 years,Male,Car passengers,Injured,56
633,2007,10 - 14 years,Male,Car passengers,Killed,0
634,2007,10 - 14 years,Male,Car drivers,Injured,1
635,2007,10 - 14 years,Male,Car drivers,Killed,0
636,2007,10 - 14 years,Female,Pedestrians,Injured,29
637,2007,10 - 14 years,Female,Pedestrians,Killed,0
638,2007,10 - 14 years,Female,Pedal cyclists,Injured,4
639,2007,10 - 14 years,Female,Pedal cyclists,Killed,1
640,2007,10 - 14 years,Female,Other road users,Injured,3
641,2007,10 - 14 years,Female,Other road users,Killed,0
642,2007,10 - 14 years,Female,Motor cyclists,Injured,1
643,2007,10 - 14 years,Female,Motor cyclists,Killed,0
644,2007,10 - 14 years,Female,Car passengers,Injured,66
645,2007,10 - 14 years,Female,Car passengers,Killed,1
646,2007,10 - 14 years,Female,Car drivers,Injured,0
647,2007,10 - 14 years,Female,Car drivers,Killed,0
648,2007,15 - 17 years,Male,Pedestrians,Injured,17
649,2007,15 - 17 years,Male,Pedestrians,Killed,2
650,2007,15 - 17 years,Male,Pedal cyclists,Injured,12
651,2007,15 - 17 years,Male,Pedal cyclists,Killed,0
652,2007,15 - 17 years,Male,Other road users,Injured,23
653,2007,15 - 17 years,Male,Other road users,Killed,1
654,2007,15 - 17 years,Male,Motor cyclists,Injured,16
655,2007,15 - 17 years,Male,Motor cyclists,Killed,0
656,2007,15 - 17 years,Male,Car passengers,Injured,92
657,2007,15 - 17 years,Male,Car passengers,Killed,6
658,2007,15 - 17 years,Male,Car drivers,Injured,52
659,2007,15 - 17 years,Male,Car drivers,Killed,3
660,2007,15 - 17 years,Female,Pedestrians,Injured,29
661,2007,15 - 17 years,Female,Pedestrians,Killed,0
662,2007,15 - 17 years,Female,Pedal cyclists,Injured,2
663,2007,15 - 17 years,Female,Pedal cyclists,Killed,0
664,2007,15 - 17 years,Female,Other road users,Injured,6
665,2007,15 - 17 years,Female,Other road users,Killed,0
666,2007,15 - 17 years,Female,Motor cyclists,Injured,2
667,2007,15 - 17 years,Female,Motor cyclists,Killed,0
668,2007,15 - 17 years,Female,Car passengers,Injured,110
669,2007,15 - 17 years,Female,Car passengers,Killed,2
670,2007,15 - 17 years,Female,Car drivers,Injured,19
671,2007,15 - 17 years,Female,Car drivers,Killed,0
672,2007,18 - 20 years,Male,Pedestrians,Injured,35
673,2007,18 - 20 years,Male,Pedestrians,Killed,3
674,2007,18 - 20 years,Male,Pedal cyclists,Injured,5
675,2007,18 - 20 years,Male,Pedal cyclists,Killed,2
676,2007,18 - 20 years,Male,Other road users,Injured,47
677,2007,18 - 20 years,Male,Other road users,Killed,4
678,2007,18 - 20 years,Male,Motor cyclists,Injured,21
679,2007,18 - 20 years,Male,Motor cyclists,Killed,3
680,2007,18 - 20 years,Male,Car passengers,Injured,145
681,2007,18 - 20 years,Male,Car passengers,Killed,5
682,2007,18 - 20 years,Male,Car drivers,Injured,234
683,2007,18 - 20 years,Male,Car drivers,Killed,11
684,2007,18 - 20 years,Female,Pedestrians,Injured,22
685,2007,18 - 20 years,Female,Pedestrians,Killed,3
686,2007,18 - 20 years,Female,Pedal cyclists,Injured,1
687,2007,18 - 20 years,Female,Pedal cyclists,Killed,0
688,2007,18 - 20 years,Female,Other road users,Injured,8
689,2007,18 - 20 years,Female,Other road users,Killed,0
690,2007,18 - 20 years,Female,Motor cyclists,Injured,2
691,2007,18 - 20 years,Female,Motor cyclists,Killed,0
692,2007,18 - 20 years,Female,Car passengers,Injured,171
693,2007,18 - 20 years,Female,Car passengers,Killed,4
694,2007,18 - 20 years,Female,Car drivers,Injured,145
695,2007,18 - 20 years,Female,Car drivers,Killed,1
696,2007,21 - 24 years,Male,Pedestrians,Injured,42
697,2007,21 - 24 years,Male,Pedestrians,Killed,5
698,2007,21 - 24 years,Male,Pedal cyclists,Injured,13
699,2007,21 - 24 years,Male,Pedal cyclists,Killed,0
700,2007,21 - 24 years,Male,Other road users,Injured,68
701,2007,21 - 24 years,Male,Other road users,Killed,4
702,2007,21 - 24 years,Male,Motor cyclists,Injured,36
703,2007,21 - 24 years,Male,Motor cyclists,Killed,4
704,2007,21 - 24 years,Male,Car passengers,Injured,121
705,2007,21 - 24 years,Male,Car passengers,Killed,8
706,2007,21 - 24 years,Male,Car drivers,Injured,250
707,2007,21 - 24 years,Male,Car drivers,Killed,12
708,2007,21 - 24 years,Female,Pedestrians,Injured,34
709,2007,21 - 24 years,Female,Pedestrians,Killed,0
710,2007,21 - 24 years,Female,Pedal cyclists,Injured,5
711,2007,21 - 24 years,Female,Pedal cyclists,Killed,0
712,2007,21 - 24 years,Female,Other road users,Injured,11
713,2007,21 - 24 years,Female,Other road users,Killed,0
714,2007,21 - 24 years,Female,Motor cyclists,Injured,4
715,2007,21 - 24 years,Female,Motor cyclists,Killed,0
716,2007,21 - 24 years,Female,Car passengers,Injured,91
717,2007,21 - 24 years,Female,Car passengers,Killed,3
718,2007,21 - 24 years,Female,Car drivers,Injured,216
719,2007,21 - 24 years,Female,Car drivers,Killed,3
720,2007,25 - 34 years,Male,Pedestrians,Injured,69
721,2007,25 - 34 years,Male,Pedestrians,Killed,3
722,2007,25 - 34 years,Male,Pedal cyclists,Injured,41
723,2007,25 - 34 years,Male,Pedal cyclists,Killed,2
724,2007,25 - 34 years,Male,Other road users,Injured,163
725,2007,25 - 34 years,Male,Other road users,Killed,5
726,2007,25 - 34 years,Male,Motor cyclists,Injured,116
727,2007,25 - 34 years,Male,Motor cyclists,Killed,11
728,2007,25 - 34 years,Male,Car passengers,Injured,130
729,2007,25 - 34 years,Male,Car passengers,Killed,7
730,2007,25 - 34 years,Male,Car drivers,Injured,395
731,2007,25 - 34 years,Male,Car drivers,Killed,24
732,2007,25 - 34 years,Female,Pedestrians,Injured,50
733,2007,25 - 34 years,Female,Pedestrians,Killed,0
734,2007,25 - 34 years,Female,Pedal cyclists,Injured,20
735,2007,25 - 34 years,Female,Pedal cyclists,Killed,0
736,2007,25 - 34 years,Female,Other road users,Injured,29
737,2007,25 - 34 years,Female,Other road users,Killed,0
738,2007,25 - 34 years,Female,Motor cyclists,Injured,9
739,2007,25 - 34 years,Female,Motor cyclists,Killed,0
740,2007,25 - 34 years,Female,Car passengers,Injured,158
741,2007,25 - 34 years,Female,Car passengers,Killed,2
742,2007,25 - 34 years,Female,Car drivers,Injured,430
743,2007,25 - 34 years,Female,Car drivers,Killed,6
744,2007,35 - 44 years,Male,Pedestrians,Injured,54
745,2007,35 - 44 years,Male,Pedestrians,Killed,5
746,2007,35 - 44 years,Male,Pedal cyclists,Injured,34
747,2007,35 - 44 years,Male,Pedal cyclists,Killed,1
748,2007,35 - 44 years,Male,Other road users,Injured,121
749,2007,35 - 44 years,Male,Other road users,Killed,7
750,2007,35 - 44 years,Male,Motor cyclists,Injured,72
751,2007,35 - 44 years,Male,Motor cyclists,Killed,9
752,2007,35 - 44 years,Male,Car passengers,Injured,52
753,2007,35 - 44 years,Male,Car passengers,Killed,2
754,2007,35 - 44 years,Male,Car drivers,Injured,287
755,2007,35 - 44 years,Male,Car drivers,Killed,12
756,2007,35 - 44 years,Female,Pedestrians,Injured,32
757,2007,35 - 44 years,Female,Pedestrians,Killed,2
758,2007,35 - 44 years,Female,Pedal cyclists,Injured,3
759,2007,35 - 44 years,Female,Pedal cyclists,Killed,0
760,2007,35 - 44 years,Female,Other road users,Injured,15
761,2007,35 - 44 years,Female,Other road users,Killed,0
762,2007,35 - 44 years,Female,Motor cyclists,Injured,2
763,2007,35 - 44 years,Female,Motor cyclists,Killed,0
764,2007,35 - 44 years,Female,Car passengers,Injured,89
765,2007,35 - 44 years,Female,Car passengers,Killed,2
766,2007,35 - 44 years,Female,Car drivers,Injured,294
767,2007,35 - 44 years,Female,Car drivers,Killed,5
768,2007,45 - 54 years,Male,Pedestrians,Injured,36
769,2007,45 - 54 years,Male,Pedestrians,Killed,7
770,2007,45 - 54 years,Male,Pedal cyclists,Injured,27
771,2007,45 - 54 years,Male,Pedal cyclists,Killed,0
772,2007,45 - 54 years,Male,Other road users,Injured,96
773,2007,45 - 54 years,Male,Other road users,Killed,8
774,2007,45 - 54 years,Male,Motor cyclists,Injured,44
775,2007,45 - 54 years,Male,Motor cyclists,Killed,3
776,2007,45 - 54 years,Male,Car passengers,Injured,29
777,2007,45 - 54 years,Male,Car passengers,Killed,0
778,2007,45 - 54 years,Male,Car drivers,Injured,176
779,2007,45 - 54 years,Male,Car drivers,Killed,4
780,2007,45 - 54 years,Female,Pedestrians,Injured,29
781,2007,45 - 54 years,Female,Pedestrians,Killed,2
782,2007,45 - 54 years,Female,Pedal cyclists,Injured,7
783,2007,45 - 54 years,Female,Pedal cyclists,Killed,2
784,2007,45 - 54 years,Female,Other road users,Injured,15
785,2007,45 - 54 years,Female,Other road users,Killed,0
786,2007,45 - 54 years,Female,Motor cyclists,Injured,6
787,2007,45 - 54 years,Female,Motor cyclists,Killed,0
788,2007,45 - 54 years,Female,Car passengers,Injured,72
789,2007,45 - 54 years,Female,Car passengers,Killed,0
790,2007,45 - 54 years,Female,Car drivers,Injured,196
791,2007,45 - 54 years,Female,Car drivers,Killed,2
792,2007,55 - 64 years,Male,Pedestrians,Injured,36
793,2007,55 - 64 years,Male,Pedestrians,Killed,7
794,2007,55 - 64 years,Male,Pedal cyclists,Injured,6
795,2007,55 - 64 years,Male,Pedal cyclists,Killed,3
796,2007,55 - 64 years,Male,Other road users,Injured,53
797,2007,55 - 64 years,Male,Other road users,Killed,5
798,2007,55 - 64 years,Male,Motor cyclists,Injured,11
799,2007,55 - 64 years,Male,Motor cyclists,Killed,1
800,2007,55 - 64 years,Male,Car passengers,Injured,22
801,2007,55 - 64 years,Male,Car passengers,Killed,1
802,2007,55 - 64 years,Male,Car drivers,Injured,143
803,2007,55 - 64 years,Male,Car drivers,Killed,4
804,2007,55 - 64 years,Female,Pedestrians,Injured,29
805,2007,55 - 64 years,Female,Pedestrians,Killed,4
806,2007,55 - 64 years,Female,Pedal cyclists,Injured,5
807,2007,55 - 64 years,Female,Pedal cyclists,Killed,1
808,2007,55 - 64 years,Female,Other road users,Injured,10
809,2007,55 - 64 years,Female,Other road users,Killed,0
810,2007,55 - 64 years,Female,Motor cyclists,Injured,1
811,2007,55 - 64 years,Female,Motor cyclists,Killed,0
812,2007,55 - 64 years,Female,Car passengers,Injured,85
813,2007,55 - 64 years,Female,Car passengers,Killed,4
814,2007,55 - 64 years,Female,Car drivers,Injured,126
815,2007,55 - 64 years,Female,Car drivers,Killed,4
816,2007,65 years and over,Male,Pedestrians,Injured,61
817,2007,65 years and over,Male,Pedestrians,Killed,16
818,2007,65 years and over,Male,Pedal cyclists,Injured,8
819,2007,65 years and over,Male,Pedal cyclists,Killed,0
820,2007,65 years and over,Male,Other road users,Injured,16
821,2007,65 years and over,Male,Other road users,Killed,3
822,2007,65 years and over,Male,Motor cyclists,Injured,4
823,2007,65 years and over,Male,Motor cyclists,Killed,1
824,2007,65 years and over,Male,Car passengers,Injured,27
825,2007,65 years and over,Male,Car passengers,Killed,1
826,2007,65 years and over,Male,Car drivers,Injured,154
827,2007,65 years and over,Male,Car drivers,Killed,13
828,2007,65 years and over,Female,Pedestrians,Injured,53
829,2007,65 years and over,Female,Pedestrians,Killed,16
830,2007,65 years and over,Female,Pedal cyclists,Injured,5
831,2007,65 years and over,Female,Pedal cyclists,Killed,0
832,2007,65 years and over,Female,Other road users,Injured,9
833,2007,65 years and over,Female,Other road users,Killed,0
834,2007,65 years and over,Female,Motor cyclists,Injured,0
835,2007,65 years and over,Female,Motor cyclists,Killed,0
836,2007,65 years and over,Female,Car passengers,Injured,94
837,2007,65 years and over,Female,Car passengers,Killed,4
838,2007,65 years and over,Female,Car drivers,Injured,85
839,2007,65 years and over,Female,Car drivers,Killed,4
840,2007,Age unknown,Male,Pedestrians,Injured,18
841,2007,Age unknown,Male,Pedestrians,Killed,1
842,2007,Age unknown,Male,Pedal cyclists,Injured,7
843,2007,Age unknown,Male,Pedal cyclists,Killed,0
844,2007,Age unknown,Male,Other road users,Injured,10
845,2007,Age unknown,Male,Other road users,Killed,0
846,2007,Age unknown,Male,Motor cyclists,Injured,8
847,2007,Age unknown,Male,Motor cyclists,Killed,1
848,2007,Age unknown,Male,Car passengers,Injured,15
849,2007,Age unknown,Male,Car passengers,Killed,1
850,2007,Age unknown,Male,Car drivers,Injured,20
851,2007,Age unknown,Male,Car drivers,Killed,2
852,2007,Age unknown,Female,Pedestrians,Injured,12
853,2007,Age unknown,Female,Pedestrians,Killed,0
854,2007,Age unknown,Female,Pedal cyclists,Injured,2
855,2007,Age unknown,Female,Pedal cyclists,Killed,0
856,2007,Age unknown,Female,Other road users,Injured,3
857,2007,Age unknown,Female,Other road users,Killed,0
858,2007,Age unknown,Female,Motor cyclists,Injured,0
859,2007,Age unknown,Female,Motor cyclists,Killed,0
860,2007,Age unknown,Female,Car passengers,Injured,20
861,2007,Age unknown,Female,Car passengers,Killed,0
862,2007,Age unknown,Female,Car drivers,Injured,20
863,2007,Age unknown,Female,Car drivers,Killed,0
864,2008,00 - 05 years,Male,Pedestrians,Injured,54
865,2008,00 - 05 years,Male,Pedestrians,Killed,1
866,2008,00 - 05 years,Male,Pedal cyclists,Injured,0
867,2008,00 - 05 years,Male,Pedal cyclists,Killed,0
868,2008,00 - 05 years,Male,Other road users,Injured,3
869,2008,00 - 05 years,Male,Other road users,Killed,2
870,2008,00 - 05 years,Male,Motor cyclists,Injured,0
871,2008,00 - 05 years,Male,Motor cyclists,Killed,0
872,2008,00 - 05 years,Male,Car passengers,Injured,97
873,2008,00 - 05 years,Male,Car passengers,Killed,0
874,2008,00 - 05 years,Male,Car drivers,Injured,0
875,2008,00 - 05 years,Male,Car drivers,Killed,0
876,2008,00 - 05 years,Female,Pedestrians,Injured,30
877,2008,00 - 05 years,Female,Pedestrians,Killed,0
878,2008,00 - 05 years,Female,Pedal cyclists,Injured,0
879,2008,00 - 05 years,Female,Pedal cyclists,Killed,0
880,2008,00 - 05 years,Female,Other road users,Injured,2
881,2008,00 - 05 years,Female,Other road users,Killed,0
882,2008,00 - 05 years,Female,Motor cyclists,Injured,0
883,2008,00 - 05 years,Female,Motor cyclists,Killed,0
884,2008,00 - 05 years,Female,Car passengers,Injured,92
885,2008,00 - 05 years,Female,Car passengers,Killed,1
886,2008,00 - 05 years,Female,Car drivers,Injured,0
887,2008,00 - 05 years,Female,Car drivers,Killed,0
888,2008,06 - 09 years,Male,Pedestrians,Injured,50
889,2008,06 - 09 years,Male,Pedestrians,Killed,2
890,2008,06 - 09 years,Male,Pedal cyclists,Injured,9
891,2008,06 - 09 years,Male,Pedal cyclists,Killed,0
892,2008,06 - 09 years,Male,Other road users,Injured,2
893,2008,06 - 09 years,Male,Other road users,Killed,0
894,2008,06 - 09 years,Male,Motor cyclists,Injured,1
895,2008,06 - 09 years,Male,Motor cyclists,Killed,0
896,2008,06 - 09 years,Male,Car passengers,Injured,69
897,2008,06 - 09 years,Male,Car passengers,Killed,1
898,2008,06 - 09 years,Male,Car drivers,Injured,0
899,2008,06 - 09 years,Male,Car drivers,Killed,0
900,2008,06 - 09 years,Female,Pedestrians,Injured,31
901,2008,06 - 09 years,Female,Pedestrians,Killed,1
902,2008,06 - 09 years,Female,Pedal cyclists,Injured,0
903,2008,06 - 09 years,Female,Pedal cyclists,Killed,0
904,2008,06 - 09 years,Female,Other road users,Injured,3
905,2008,06 - 09 years,Female,Other road users,Killed,0
906,2008,06 - 09 years,Female,Motor cyclists,Injured,0
907,2008,06 - 09 years,Female,Motor cyclists,Killed,0
908,2008,06 - 09 years,Female,Car passengers,Injured,55
909,2008,06 - 09 years,Female,Car passengers,Killed,1
910,2008,06 - 09 years,Female,Car drivers,Injured,0
911,2008,06 - 09 years,Female,Car drivers,Killed,0
912,2008,10 - 14 years,Male,Pedestrians,Injured,70
913,2008,10 - 14 years,Male,Pedestrians,Killed,3
914,2008,10 - 14 years,Male,Pedal cyclists,Injured,19
915,2008,10 - 14 years,Male,Pedal cyclists,Killed,1
916,2008,10 - 14 years,Male,Other road users,Injured,8
917,2008,10 - 14 years,Male,Other road users,Killed,0
918,2008,10 - 14 years,Male,Motor cyclists,Injured,2
919,2008,10 - 14 years,Male,Motor cyclists,Killed,0
920,2008,10 - 14 years,Male,Car passengers,Injured,75
921,2008,10 - 14 years,Male,Car passengers,Killed,2
922,2008,10 - 14 years,Male,Car drivers,Injured,1
923,2008,10 - 14 years,Male,Car drivers,Killed,0
924,2008,10 - 14 years,Female,Pedestrians,Injured,39
925,2008,10 - 14 years,Female,Pedestrians,Killed,1
926,2008,10 - 14 years,Female,Pedal cyclists,Injured,2
927,2008,10 - 14 years,Female,Pedal cyclists,Killed,0
928,2008,10 - 14 years,Female,Other road users,Injured,1
929,2008,10 - 14 years,Female,Other road users,Killed,0
930,2008,10 - 14 years,Female,Motor cyclists,Injured,0
931,2008,10 - 14 years,Female,Motor cyclists,Killed,0
932,2008,10 - 14 years,Female,Car passengers,Injured,75
933,2008,10 - 14 years,Female,Car passengers,Killed,3
934,2008,10 - 14 years,Female,Car drivers,Injured,0
935,2008,10 - 14 years,Female,Car drivers,Killed,0
936,2008,15 - 17 years,Male,Pedestrians,Injured,28
937,2008,15 - 17 years,Male,Pedestrians,Killed,0
938,2008,15 - 17 years,Male,Pedal cyclists,Injured,16
939,2008,15 - 17 years,Male,Pedal cyclists,Killed,3
940,2008,15 - 17 years,Male,Other road users,Injured,15
941,2008,15 - 17 years,Male,Other road users,Killed,1
942,2008,15 - 17 years,Male,Motor cyclists,Injured,16
943,2008,15 - 17 years,Male,Motor cyclists,Killed,1
944,2008,15 - 17 years,Male,Car passengers,Injured,123
945,2008,15 - 17 years,Male,Car passengers,Killed,6
946,2008,15 - 17 years,Male,Car drivers,Injured,63
947,2008,15 - 17 years,Male,Car drivers,Killed,5
948,2008,15 - 17 years,Female,Pedestrians,Injured,30
949,2008,15 - 17 years,Female,Pedestrians,Killed,1
950,2008,15 - 17 years,Female,Pedal cyclists,Injured,0
951,2008,15 - 17 years,Female,Pedal cyclists,Killed,0
952,2008,15 - 17 years,Female,Other road users,Injured,9
953,2008,15 - 17 years,Female,Other road users,Killed,0
954,2008,15 - 17 years,Female,Motor cyclists,Injured,2
955,2008,15 - 17 years,Female,Motor cyclists,Killed,0
956,2008,15 - 17 years,Female,Car passengers,Injured,123
957,2008,15 - 17 years,Female,Car passengers,Killed,3
958,2008,15 - 17 years,Female,Car drivers,Injured,26
959,2008,15 - 17 years,Female,Car drivers,Killed,0
960,2008,18 - 20 years,Male,Pedestrians,Injured,42
961,2008,18 - 20 years,Male,Pedestrians,Killed,6
962,2008,18 - 20 years,Male,Pedal cyclists,Injured,12
963,2008,18 - 20 years,Male,Pedal cyclists,Killed,0
964,2008,18 - 20 years,Male,Other road users,Injured,57
965,2008,18 - 20 years,Male,Other road users,Killed,2
966,2008,18 - 20 years,Male,Motor cyclists,Injured,20
